DateTime,Depth_m,Temp_C,CDOM_ugL,Chla_ugL,Phycoerythrin_ugL,Phycocyanin_ugL,Turbidity_NTU,Cond_uScm,SpCond_uScm,DO_mgL,DOsat_percent,PAR,Salinity,DescRate_ms ,Flag
2025-03-24T10:11:49Z,3.91,9.8403,22.32,3.5226,0.1278,0.6345,3.9656,19.463524,27.957,10.4355,91.735,1.3108,2.0912266904143944,0.09,0
2025-03-24T10:11:49Z,3.933,9.8336,22.32,3.5378,0.1278,0.6345,4.0562,19.45331,27.948,10.4231,91.72,1.2964,2.0908983087289537,0.094,0
2025-03-24T10:11:49Z,3.958,9.8246,22.32,3.5531,0.1278,0.6345,4.0562,19.454179,27.952,10.4132,91.734,1.2343,2.0917318322578304,0.099,0
2025-03-24T10:11:49Z,3.984,9.8152,22.32,3.5226,0.1278,0.6345,4.1015,19.468355,27.974,10.4055,91.768,1.2223,2.094015119296047,0.104,0
2025-03-24T10:11:49Z,4.01,9.807,22.32,3.0305,0.1704,0.5076,3.8901,19.499617,28.02,10.4014,91.821,1.2007,2.0981329393217036,0.109,0
2025-03-24T10:11:49Z,4.039,9.8008,22.32,3.0533,0.1704,0.5076,3.8296,19.532416,28.069,10.4012,91.906,1.1474,2.1023752231782664,0.115,0
2025-03-24T10:11:49Z,4.068,9.7968,22.32,3.0495,0.1704,0.5076,3.7843,19.553601,28.103,10.4038,92.019,1.1579,2.105302145540357,0.122,0
2025-03-24T10:11:49Z,4.1,9.7946,22.32,3.0457,0.1704,0.5076,3.7994,19.552896,28.106,10.4082,92.133,1.1506,2.1056665005271724,0.128,0
2025-03-24T10:11:49Z,4.134,9.7931,22.32,3.2097,0.1278,0.4653,3.9656,19.55201,28.109,10.4146,92.223,1.0909,2.105990243165946,0.134,0
2025-03-24T10:11:49Z,4.17,9.7911,22.32,3.2364,0.1278,0.4653,4.2073,19.580565,28.155,10.4247,92.28,0.94232,2.1097542249950085,0.138,0
2025-03-24T10:11:49Z,4.208,9.7875,22.32,3.2288,0.1278,0.4653,4.0713,19.608354,28.199,10.4385,92.31,0.92588,2.113453316449676,0.142,0
2025-03-24T10:11:49Z,4.244,9.7822,22.32,3.2403,0.1278,0.4653,4.0411,19.61293,28.21,10.4527,92.325,0.92206,2.1146333795863144,0.144,0
